#Columns,4
#Header_Rows,12
Field_Name,Sample_Name,Material,MBD_P_mg_per_L,Methods_Deviation
Unit,N/A,N/A,milligrams_per_liter,N/A
Unit_Basis,N/A,N/A,as_Molybdate_Reactive_Phosphorus,N/A
MethodID_Analysis,N/A,N/A,MBD_Filt_T_AN_000,N/A
MethodID_Inspection,N/A,N/A,MBD_Filt_T_IN_000,N/A
MethodID_Storage,N/A,N/A,MBD_Filt_T_ST_000,N/A
MethodID_Preservation,N/A,N/A,MBD_Filt_T_PRES_000,N/A
MethodID_Preparation,N/A,N/A,MBD_Filt_T_PREP_000,N/A
MethodID_DataProcessing,N/A,N/A,MBD_Filt_T_DP_000,N/A
Analysis_DetectionLimit,-9999,-9999,0.0087,N/A
Analysis_Precision,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,ready_to_use,N/A
#Start_Data,BSLE_0001A-filt0.7,Liquid>aqueous,5.17,N/A
N/A,BSLE_0001B-filt0.7,Liquid>aqueous,4.63,N/A
N/A,BSLE_0001C-filt0.7,Liquid>aqueous,4.92,N/A
N/A,BSLE_0002A-filt0.7,Liquid>aqueous,3.65,N/A
N/A,BSLE_0002B-filt0.7,Liquid>aqueous,3.53,N/A
N/A,BSLE_0002C-filt0.7,Liquid>aqueous,2.92,N/A
N/A,BSLE_0007A-filt0.7,Liquid>aqueous,1.19,N/A
N/A,BSLE_0007B-filt0.7,Liquid>aqueous,3.32,N/A
N/A,BSLE_0007C-filt0.7,Liquid>aqueous,0.91,N/A
N/A,BSLE_0008A-filt0.7,Liquid>aqueous,1.64,N/A
N/A,BSLE_0008B-filt0.7,Liquid>aqueous,1.36,N/A
N/A,BSLE_0008C-filt0.7,Liquid>aqueous,1.68,N/A
N/A,BSLE_0009A-filt0.7,Liquid>aqueous,6.95,N/A
N/A,BSLE_0009B-filt0.7,Liquid>aqueous,7.54,N/A
N/A,BSLE_0009C-filt0.7,Liquid>aqueous,8.3,N/A
N/A,BSLE_0010A-filt0.7,Liquid>aqueous,0.6,N/A
N/A,BSLE_0010B-filt0.7,Liquid>aqueous,0.56,N/A
N/A,BSLE_0010C-filt0.7,Liquid>aqueous,1.09,N/A
N/A,BSLE_0011A-filt0.7,Liquid>aqueous,5.58,N/A
N/A,BSLE_0011B-filt0.7,Liquid>aqueous,5.76,N/A
N/A,BSLE_0011C-filt0.7,Liquid>aqueous,6.03,N/A
N/A,BSLE_0012A-filt0.7,Liquid>aqueous,2.31,N/A
N/A,BSLE_0012B-filt0.7,Liquid>aqueous,3.69,N/A
N/A,BSLE_0012C-filt0.7,Liquid>aqueous,3.2,N/A
N/A,BSLE_0013A-filt0.7,Liquid>aqueous,0.98,N/A
N/A,BSLE_0013B-filt0.7,Liquid>aqueous,1.81,N/A
N/A,BSLE_0013C-filt0.7,Liquid>aqueous,0.94,N/A
N/A,BSLE_0014A-filt0.7,Liquid>aqueous,5.09,N/A
N/A,BSLE_0014B-filt0.7,Liquid>aqueous,5.35,N/A
N/A,BSLE_0014C-filt0.7,Liquid>aqueous,5.24,N/A
N/A,BSLE_0050A-filt0.7,Liquid>aqueous,4.58,N/A
N/A,BSLE_0050B-filt0.7,Liquid>aqueous,2.21,N/A
N/A,BSLE_0050C-filt0.7,Liquid>aqueous,2.92,N/A
N/A,BSLE_0051A-filt0.7,Liquid>aqueous,3.55,N/A
N/A,BSLE_0051B-filt0.7,Liquid>aqueous,3.67,N/A
N/A,BSLE_0051C-filt0.7,Liquid>aqueous,4.65,N/A
N/A,BSLE_0052A-filt0.7,Liquid>aqueous,2.73,N/A
N/A,BSLE_0052B-filt0.7,Liquid>aqueous,4.53,N/A
N/A,BSLE_0052C-filt0.7,Liquid>aqueous,4.34,N/A
N/A,BSLE_0058A-filt0.7,Liquid>aqueous,2.83,N/A
N/A,BSLE_0058B-filt0.7,Liquid>aqueous,0.5,N/A
N/A,BSLE_0058C-filt0.7,Liquid>aqueous,-9999,N/A
N/A,BSLE_0067A-filt0.7,Liquid>aqueous,2.93,N/A
N/A,BSLE_0067B-filt0.7,Liquid>aqueous,1.64,N/A
N/A,BSLE_0067C-filt0.7,Liquid>aqueous,1.91,N/A
N/A,BSLE_0068A-filt0.7,Liquid>aqueous,-9999,N/A
N/A,BSLE_0068B-filt0.7,Liquid>aqueous,1.44,N/A
N/A,BSLE_0068C-filt0.7,Liquid>aqueous,0.99,N/A
N/A,BSLE_0071A-filt0.7,Liquid>aqueous,1.98,N/A
N/A,BSLE_0071B-filt0.7,Liquid>aqueous,1.88,N/A
N/A,BSLE_0071C-filt0.7,Liquid>aqueous,-9999,N/A
N/A,BSLE_0072A-filt0.7,Liquid>aqueous,2.92,N/A
N/A,BSLE_0072B-filt0.7,Liquid>aqueous,4.79,N/A
N/A,BSLE_0072C-filt0.7,Liquid>aqueous,0.31,N/A
N/A,BSLE_0073A-filt0.7,Liquid>aqueous,1.53,N/A
N/A,BSLE_0073B-filt0.7,Liquid>aqueous,2.86,N/A
N/A,BSLE_0073C-filt0.7,Liquid>aqueous,0.63,N/A
#End_Data,,,,
